text,fiscal_period_ref,source,role,page,section,reporting_period,date_of_call,bank,document_type,reference,source_type,is_comparative,sentiment
"So overall, we see the spending patterns as being sort of solid and consistent with the narrative that the consumer is on solid footing and consistent with the strong labor market and the current central case of a kind of no-landing scenario economically. But obviously, as we always point out, that's one scenario and there are many other scenarios.",quarter,Jeremy Barnum,CFO,11,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 11",internal,False,Positive
Got it. Thank you.,quarter,Matt O'Connor,Analyst,12,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Matt O'Connor (Analyst)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 12",internal,False,Neutral
Thank you. Our next question comes from the line of Mike Mayo from Wells Fargo Securities. You may proceed.,quarter,Operator,Host,12,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Operator (Host)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 12",internal,False,Neutral
"Hey. Jamie, I think I've seen you comment on government this year more than any other time in your career. And the August 2 op-ed, Washington Post, Davos you're talking about government. I think it was this week or last week on Bloomberg, you're saying bank mergers should be allowed. Your bus tour in August, you were asked, which is my question now, under what circumstances would you leave for government service and your answer then was “I love what I do.” We get it you love what you do. But under what circumstances would you consider government service? It seems like you'd be more likely to go now than in the past just based on the numerous comments that you've made. Is that right, wrong, what's your thinking?",quarter,Mike Mayo,Analyst,12,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Mike Mayo (Analyst)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 12",internal,False,Neutral
"I think it's wrong. I've always been an American patriot. My country is more important to me than my company, and I think this government is very important to get this – and if you look at the world today, Mike, it is so important that we get things right for the whole geopolitical world. I'm not just talking about the American economy, and we try to participate in policy at the local level, at the state level, at the federal level, at the international level to try to help. That's our job. We try to grow economies and things like that. So nothing has changed in my view, my opinion, or my interest. I just think it's very, very important that we try to help the government do a good job.",quarter,Jamie Dimon,CEO,12,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 12",internal,False,Neutral
"So if you were asked by the next administration to serve the country, would you be open to considering it?",quarter,Mike Mayo,Analyst,12,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Mike Mayo (Analyst)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 12",internal,False,Neutral
"I think the chance of that is almost nil and I probably am not going to do it, but I've always reserved the right. I don't make promise to people. I don't have to. But no, I love what I do. I intend to be doing what I'm doing. I almost guarantee I'll be doing this for a long period of time or at least until the board kicks me out.",quarter,Jamie Dimon,CEO,12,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 12",internal,False,Neutral
"Let me take the flip side of that question for those of you who are worried about you leaving. The other side of the question is we were on these calls the last couple of years. You're saying the stock is over-valued, and I think that's what you're saying. You're saying the stock market is over-valued and therefore all stocks are over-valued. And on the one hand, you guys, you highlight on this call AI, tech, market share gains, high returns, high capital. So, do you think in some ways when we think about the value of your price, and your ability to do buybacks, you're thinking more about an old school model for valuing your stock as opposed to a new school model that might put you in the category of more tech-oriented firms, especially as it relates to your progress with AI.",quarter,Mike Mayo,Analyst,12,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Mike Mayo (Analyst)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 12",internal,False,Neutral
"Listen, you're making a very good point, which is I think we have an exceptional company, exceptional franchises, and the price point at which you might buy the stock. But I'm not that exuberant about thinking even tech valuations or any valuations will stay at these very inflated values. And so I'm just – we're just quite patient in that, and I think you're going to have to judge us over time about whether we're done the right thing to do nothing. And remember, we could always do it. We haven't lost the money. It didn't go away. It's sitting in store. The only time that would be really wrong is if the stock runs way up, we've got to buy at much higher prices. And I just, I would be a real skeptic about that happening.",quarter,Jamie Dimon,CEO,12,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 12",internal,False,Positive
Thank you. Our next question comes from Ebrahim Poonawala from Bank of America. Your line is open.,quarter,Operator,Host,13,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Operator (Host)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Neutral
"Yeah, good morning. I guess just wanted to follow-up. You talked about private credit and the disruption to bank lending. Another area I would appreciate if you can address is we've been hearing a lot about the likes of Jane Street and other market makers potentially disrupting fixed income trading. Is that a real risk? And is there an opportunity for a firm like JPMorgan to actually compete on the private venue side on market making beyond traditional sort of FICC activity?",quarter,Ebrahim H. Poonawala,Analyst,13,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Ebrahim H. Poonawala (Analyst)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Neutral
"Yeah, Ebrahim, the way I would frame that is not as a risk but as a reality. We've always emphasized in all of our businesses that we operate in an extremely competitive environment, and that applies to – and that competitive environment isn't limited to competing against banks or traditional financial institutions. It extends in the consumer space to fintechs. And in the market making space, it obviously increasingly is extending to some of the types of firms that you're referring to.",quarter,Jeremy Barnum,CFO,13,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Neutral
"Now those firms are, in many cases, also clients. And that's the same type of dynamic that you see, for example, in the private credit space that we've discussed before. So there's no question that the ecosystem is changing. You've got new competitors. You've got changes in market structure, new dynamics. And as with any business, we are innovating and adjusting and making sure that we're prepared to compete in all the traditional ways and all the new ways.",quarter,Jeremy Barnum,CFO,13,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Positive
"Of course, there are some ways in which being a bank hinders our ability to do that. And one of the arguments that we've made going back to the capital and liquidity regulations is that when you come to the impact on the kind of U.S. capital markets ecosystem, which is the end view of the world, its worked well in its current construct for a long time where some activities were inside the regulated perimeter and there was robust participation from unregulated capital of various sorts. And a world where more and more of that activity gets pushed outside of bank market makers is a meaningful change to that structure that is untested, and it's unclear why you would want that. And we've cautioned that if that's the intent of the regulations, it should be intentional and well-studied. But in the meantime, we're going to adjust and compete to the best of our ability given the constraints of the current rule set.",quarter,Jeremy Barnum,CFO,13,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Negative
"The previous answer on the private markets, it remains to be seen how that develops. There is a little bit of that, and some people are talking about making more active things in private markets. In some ways we're well-positioned for that too, because for that you need liquidity, market-making valuation, buyers and sellers on both sides to create liquidity. So that hasn't developed yet, but we may have competition, but we'll be there when the time comes.",quarter,Jamie Dimon,CEO,13,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Positive
"And the second one is the public markets. You have seen reports about you have deal inventories, both corporate and treasuries. And I do think that's capital. But again, we do it, remember, for clients. So we are large market makers on both sides of the markets for clients in both credit and treasuries, which is a little different than some of the other people just trading for their own account. And so they are both competition from our standpoint, but we're there. We're going to do it. We're can always deploy more capital if we want. And we would even deploy more capital at lower returns if we really had to do that to service clients. So we're very conscious of it. There will be competition both sides. As Jeremy said, we sat here 10 years ago talking about the electronification of the business and can we keep up with that, and so far we have.",quarter,Jamie Dimon,CEO,13,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Neutral
"Got it. And just one quick one. And, Jeremy, you, I think, mentioned QT stopping at some point. We saw the repo sort of market spike at the end of September. Give us your perspective on just the risk of market liquidity shock as we move into year-end and do you have a view on how quickly Fed should recalibrate QT or actually stop QT to prevent some loss? Thanks.",quarter,Ebrahim H. Poonawala,Analyst,13,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Ebrahim H. Poonawala (Analyst)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 13",internal,False,Neutral
"Yeah. It's a good question, Ebrahim. But I think you've kind of answered your own question. In other words, like the argument out there is that the repo spike that we saw at the end of this quarter was an indication that maybe the market is approaching that lowest comfortable level of reserves that's been heavily speculated about. And recognizing that that number is probably higher and driven by the evolution of firm's liquidity requirements as opposed to some of the more traditional measures.",quarter,Jeremy Barnum,CFO,14,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
"And side point, it's just another reason why it's important to look at the whole framework holistically when we think about the regulatory response of the events of two springs ago. You don't want those types of spikes and it raises some questions about why there isn't more readiness to deploy into those types of disruptions, albeit this one was relatively minor.",quarter,Jeremy Barnum,CFO,14,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Negative
"But in any case, when you put all that together, it would seem to add some weight to the notion that maybe QT should be wound down and that seems to be increasingly the consensus that that's going to get announced at some point in the fourth quarter. So my only point was if you play that view through, it's a residual headwind for system-wide deposit growth which gets removed. And that's one of the reasons that we feel that we're probably in the trough of our deposit balances at the level of...",quarter,Jeremy Barnum,CFO,14,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Negative
"So I just want to add a couple policy things here. I'm not actually sure they can actually do that, because you have inflationary factors out there, partially driven by QE. And also, look at the volatility. It's not a risk to JPMorgan. It's a risk to the system. And what banks have, I already mentioned the constrained balance sheet a little bit. So the banks will have trillions of dollars of cash and unable to deploy the repo markets. And is it a good policy thing that every time that happens, because you can do it very safely, fully collateralized, all things like that, providing what I call flexible financing in the marketplace, that that happens, the Fed has to step in every time? I think that becomes a policy issue that every time there's some kind of fluctuation in the market, people panic and the Fed has got to step in and provide stuff. And can they always do that if you have a slightly more inflationary environment going forward?",quarter,Jamie Dimon,CEO,14,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
"So I think you've got to be very thoughtful about this and that's why we do think they should look at calibrating SLR and ECLR and CET1, all of these things, particularly for this. So my view is, it is going to happen again. I can't tell you exactly when, but I'd be surprised if it doesn't happen again.",quarter,Jamie Dimon,CEO,14,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
Got it. Thank you both.,quarter,Ebrahim H. Poonawala,Analyst,14,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Ebrahim H. Poonawala (Analyst)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
Thank you. Our next question comes from the line of Betsy Graseck from Morgan Stanley. Your line is open.,quarter,Operator,Host,14,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Operator (Host)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
"Oh, hi. Good morning.",quarter,Betsy L. Graseck,Analyst,14,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Betsy L. Graseck (Analyst)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
"Hey, Betsy.",quarter,Jeremy Barnum,CFO,14,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
Can you hear me? Hello?,quarter,Betsy L. Graseck,Analyst,14,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Betsy L. Graseck (Analyst)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 14",internal,False,Neutral
Yeah.,quarter,Jeremy Barnum,CFO,15,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Neutral
Can you hear me okay?,quarter,Betsy L. Graseck,Analyst,15,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Betsy L. Graseck (Analyst)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Neutral
Yeah. We can hear you. Can you hear us?,quarter,Jeremy Barnum,CFO,15,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Neutral
"Oh, yes. Thank you. So one for Jeremy, one for Jamie. Jeremy and Jamie, Sorry about the NII question I'm going to have, but it is more than half your revenue so I kind of care about it.",quarter,Betsy L. Graseck,Analyst,15,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Betsy L. Graseck (Analyst)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Neutral
"But when I'm thinking about the trough and then the build-up, QT ending, deposit growth, I mean, that's part of the calculation for improvement as we go into 2025. Right? I should embed that outlook. Is that right? And that's embedded in how you're thinking about it. I know we don't have a number for you for NII for 2025 but it is in there. Right?",quarter,Betsy L. Graseck,Analyst,15,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Betsy L. Graseck (Analyst)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Neutral
"Yeah. In other words, it goes back to my prior point and to the point that I had in the prepared remarks about the consumer deposit balances in particular –",quarter,Jeremy Barnum,CFO,15,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Neutral
Right.,quarter,Betsy L. Graseck,Analyst,15,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Betsy L. Graseck (Analyst)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Neutral
"– that there's lots of different offsetting factors right now, right. You've got the yield curve, you've got Card revolve, you've got balances. And balances have been a headwind. We now see it as neutral and they could potentially become a tailwind later in the year. And one of the potential reasons for that is – one of the potential reasons for that is the potential end of QT, but emphasize the word potential, to Jamie's point.",quarter,Jeremy Barnum,CFO,15,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Negative
"You also obviously have a little bit of the fixed asset, fixed-rate asset reprice dynamics starting to flow through a little bit. While we're on NII, just to annoy Jamie a little bit more, I do want to make a point that I didn't get a chance to make previously, which is there's a reason that we emphasize the implied fourth quarter run rate for the Markets NII in the presentation which is that if you take that and you annualize it, it gives you a launch point run rate, which is significantly higher than what's currently in the consensus and obviously what we've seen this year. And I'll give you the concise version of my usual speech that changes in Markets NII are almost always bottom-line neutral and offset in NIR. But for the purposes of trying to help you guys with your models, I would just encourage you to recognize what that launch point is, the number of cuts that are in the curve, the fact that that number has historically and in the recent past has been quite liability-sensitive, so you can draw your own conclusions about what that should mean. Again, shouldn't change the overall revenue expectation. It's just a balance sheet and income statement geography issue. But just for the sake of helping you tidy up models, I wanted to make that point.",quarter,Jeremy Barnum,CFO,15,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 15",internal,False,Neutral
And so Daniel's comments in September were on NII in total or NII ex. Markets? Could you just clarify that?,quarter,Betsy L. Graseck,Analyst,16,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Betsy L. Graseck (Analyst)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Neutral
"No. Those were core NII or NII ex.. So again, reiterating at the time, the 2024 consensus was $91.5 billion. The 2025 consensus was $90 billion on NII ex. and our point was that that number, which remains an asset-sensitive number, indicated an insufficient amount of sequential decline year-on-year. The current consensus as we see it for NII ex. Markets is $87 billion. And as we've noted, that's closer albeit maybe still a little bit toppy.",quarter,Jeremy Barnum,CFO,16,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Negative
"Okay. Then one for Jamie. Jamie, we did talk already quite a bit about the capital that you have, capital in store. Just wanted to understand how you're thinking about that opportunity set that's in front of you with regard to using it for potentially portfolio acquisitions. I realize that depositories are not on the docket, but we all know there's portfolios out there that might be looking for a home. And could you give us a sense as to how interested you might be in acquiring assets at this stage?",quarter,Betsy L. Graseck,Analyst,16,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Betsy L. Graseck (Analyst)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Neutral
"Yeah. So asset acquisitions, I mean I always want our people to be looking at those things and thinking about those things. But if you listen to what I'm saying about my caution about the world, it's hard for me to say that we're going to be in the market to buy credit assets.",quarter,Jamie Dimon,CEO,16,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Neutral
What about loans? The Apple card…,quarter,Betsy L. Graseck,Analyst,16,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Betsy L. Graseck (Analyst)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Neutral
"But creating those assets to help clients. That's a whole different matter because when it comes to clients, we earn credit asset spread and we usually have other stuff. If our bankers can deploy capital that way, of course be that we want to do more. And our CIO could deploy capital in multiple ways, we would probably do more. And we ask all the time can we do more in affordable housing, can we do more in things we're actually quite comfortable. And yeah, if we could find ways to deploy capital, we would be happy to do that. But put us in your closest category...",quarter,Jamie Dimon,CEO,16,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Neutral
"And what about like a private label credit card, for example.",quarter,Betsy L. Graseck,Analyst,16,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Betsy L. Graseck (Analyst)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Neutral
[indiscernible],quarter,Jamie Dimon,CEO,16,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Neutral
I'm just wondering about private label credit card for example. Is that something that would help clients?,quarter,Betsy L. Graseck,Analyst,16,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Betsy L. Graseck (Analyst)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 16",internal,False,Neutral
Almost no chance.,quarter,Jamie Dimon,CEO,17,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 17",internal,False,Neutral
"Well, but having – it's very important. While I say that, I always tell the management team second-guess me. I mean, we’ve done private label. I know what it is, we've been there. I have a lot of issues with it. But is it possible it's going to be different one day and a different thing? Yeah, it's possible, so I don't want to cut it off. If Marianne Lake says to me, Jamie I think clearly the world's changed, we're going to change. But right now, we'd say no, there's no chance.",quarter,Jamie Dimon,CEO,17,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 17",internal,False,Neutral
Thank you so much.,quarter,Betsy L. Graseck,Analyst,17,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Betsy L. Graseck (Analyst)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 17",internal,False,Neutral
Thank you. Our final question will come from Saul Martinez with HSBC. Your line is open.,quarter,Operator,Host,17,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Operator (Host)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 17",internal,False,Neutral
"Hey. Good morning. I'm not going to ask about a specific NII in 2025, but I did want to delve into the how to think about your deposit margin in volume dynamics in the CCB over the next few years. You have seen a decent amount of pressure in the deposit margin, 2.6%, down about 30 basis points as deposit balances have come down, so it put some pressure on deposit NII. But deposit margins are still well above where they were when rates were at levels that are consistent with where the forward curve now has been going. So I guess how do we think about both volumes and margin dynamics if rates do come down, say, to the level that are consistent with the forward curve? I know the forward curve is likely going to be long, but that's the reference point we have.",quarter,Saul Martinez,Analyst,17,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Saul Martinez (Analyst)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 17",internal,False,Neutral
"And conversely, volume offset. You mentioned, Jeremy, the retail deposits becoming a tailwind. But, I guess, how much of a tailwind could they be, especially as you are expecting to gain quite a bit of market share in retail deposits? So just give us a sense of sort of the push and pull of these dynamics that really help drive the deposit, the value of the deposit franchise.",quarter,Saul Martinez,Analyst,17,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Saul Martinez (Analyst)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 17",internal,False,Neutral
"Sure. Yeah, thanks for the question, Saul. And I think you've laid out the building blocks there already. Just for simplicity, I'm going to try to answer your question without referring to the disclosed CCB deposit margin number, just because that number is obviously the combination of the rate paid on the CCB deposits and the internal FTP into that. And that is a complicated thing that evolves as a function of the modeling of the betas and other things. So I think it's actually more helpful to look at this simply from a Firmwide perspective and look at the evolution of the rate paid in the context of the policy rates roughly, and just set aside the duration management and all those sort of factors.",quarter,Jeremy Barnum,CFO,17,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 17",internal,False,Neutral
"And I think when you do that, what you see is we've been saying for a while that the deposit margin defined for these purposes is simply the difference between the policy rate and the weighted-average rate paid of the consumer deposits, was unsustainably high. And that was going to have to correct one way or the other. Either deposits were going to reprice at the product level through checking and savings, and/or we were going to see a ton of internal migration, i.e. growth in the CD mix, and/or we would see a lower policy rate. So as we sit here right now, of course, we make pricing decisions in the context of market competition at any given moment looking at what the environment is for deposits, but we have not needed to reprice in order to retain primary bank relationships which was also our core strategy. We were never going to chase sort of the hot money at the margin.",quarter,Jeremy Barnum,CFO,17,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 17",internal,False,Neutral
"We've leaned in heavily to CDs and gotten to the current level of CD mix, and that's been a good strategy. And from where we sit now, we now have the margin coming down as a result of the policy rate coming down. It seems that, that puts us in a pretty comfortable position from a pricing perspective. We think the CD mix has probably peaked.",quarter,Jeremy Barnum,CFO,17,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 17",internal,False,Positive
"Now, on the way down, it's not going to go back down to zero, where it was at the beginning of the cycle. That's an important thing to realize. So all else equal, that creates a little bit of margin compression. And then through all of that, obviously, a lower yield environment should mean that there's a little bit less outflow from consumer deposits, as I mentioned. We're seeing a lot less yield-seeking behavior. So then when you overlay on to that what you mentioned, which is our long-term share growth in CCB deposits, in no small part as a function of the brand strategy and the buildout and the fact that only about a quarter of our top 125 markets in CCB are at that 15% share number, so we believe there's big opportunity to grow the rest of it and be on track at the type of average annual share growth of the order of 30 basis points or 40 basis points that we've seen historically. That's how you kind of assemble a tailwind from normalized deposit margin and balance growth in Consumer.",quarter,Jeremy Barnum,CFO,18,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 18",internal,False,Positive
"Jeremy, correct me if you think I'm wrong. The abnormal time period was when rates were between 0% and 1% or 2%. Other than that, if you're looking at, say, what are normal deposit margins in the normal banking business, forget people going after really hot money if that happens, it's 2% to 2.5%.",quarter,Jamie Dimon,CEO,18,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 18",internal,False,Neutral
"Absolutely. Yeah, we agree.",quarter,Jeremy Barnum,CFO,18,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 18",internal,False,Neutral
"Okay. That's helpful. So it sounds like you're a little bit above that, but there's still some pressure. But you're not dramatically above those levels.",quarter,Saul Martinez,Analyst,18,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Saul Martinez (Analyst)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 18",internal,False,Negative
"Very good returns in business in both Banking & Wealth Management. We're growing market share. And when we build branches and stuff like that, we don't necessarily assume current margins. We look at what would be normal margins over time. And we're very comfortable doing very nice business for you all.",quarter,Jamie Dimon,CEO,18,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 18",internal,False,Positive
Yes. Got it. Okay. That's helpful. Thanks a lot. That's all I got.,quarter,Saul Martinez,Analyst,18,Q and A,Q3_2024,2024-10-11,JPMorgan,transcript,"Saul Martinez (Analyst)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 18",internal,False,Neutral
"Thanks, Saul. 

Thanks, everyone.",quarter,Jeremy Barnum,CFO,18,Conclusion,Q3_2024,2024-10-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 18",internal,False,Neutral
Thank you.,quarter,Jamie Dimon,CEO,18,Conclusion,Q3_2024,2024-10-11,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 18",internal,False,Neutral
Thank you all for participating in today's conference. You may disconnect at this time. And have a great rest of your day.,quarter,Operator,Host,18,Conclusion,Q3_2024,2024-10-11,JPMorgan,transcript,"Operator (Host)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 18",internal,False,Neutral
"This document contains forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. These statements are based on the current beliefs and expectations of JPMorgan Chase & Co.’s management and are subject to significant risks and uncertainties. Actual results may differ from those set forth in the forward-looking statements. Factors that could cause JPMorgan Chase & Co.’s actual results to differ materially from those described in the forward-looking statements can be found in JPMorgan Chase & Co.’s Annual Report on Form 10-K for the year ended December 31, 2023, which has been filed with the Securities and Exchange Commission and is available on JPMorgan Chase & Co.’s website (https://jpmorganchaseco.gcs-web.com/financial-information/sec-filings), and on the Securities and Exchange Commission’s website (www.sec.gov). JPMorgan Chase & Co. does not undertake to update any forward-looking statements.",quarter,JPMorgan Chase & Co.,Other,19,Disclaimer,Q3_2024,2024-10-11,JPMorgan,transcript,"JPMorgan Chase & Co. (Other)
JPMorgan, Q3, 2024 Earnings Call Transcript, Page 19",internal,False,Neutral
"Operator: Good morning, ladies and gentlemen. Welcome to JPMorgan Chase's Fourth Quarter 2023 Earnings Call. This call is being recorded. Your line will be muted for the duration of the call. We will now go to the live presentation. Please stand by.",quarter,Operator,Host,2,Introduction,Q4_2023,2024-01-12,JPMorgan,transcript,"Operator (Host)
JPMorgan, Q4, 2023 Earnings Call Transcript, Page 2",internal,False,Neutral
"At this time, I would like to turn the call over to JPMorgan Chase's Chairman and CEO, Jamie Dimon, and Chief Financial Officer, Jeremy Barnum. Mr. Barnum, please go ahead.",quarter,Operator,Host,2,Introduction,Q4_2023,2024-01-12,JPMorgan,transcript,"Operator (Host)
JPMorgan, Q4, 2023 Earnings Call Transcript, Page 2",internal,False,Neutral
