text,fiscal_period_ref,speaker,role,page,section,reporting_period,date_of_call,bank,document_type,source,sentiment
"So we've been quite conservative ourselves and we don't mind continuing to do that because I remind people that having excess capital, you haven't lost it.",quarter,Jamie Dimon,CEO,12,Q and A,Q1_2023,2023-04-14,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q1, 2023 Earnings Call Transcript, Page 12",Negative
"And this whole banking thing was bad for banks. And I knew that the second I saw the headline, and then you had Credit Suisse.",quarter,Jamie Dimon,CEO,12,Q and A,Q1_2023,2023-04-14,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q1, 2023 Earnings Call Transcript, Page 12",Negative
"And so there may be additional bank failures, something like that, which we don't know.",quarter,Jamie Dimon,CEO,12,Q and A,Q1_2023,2023-04-14,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q1, 2023 Earnings Call Transcript, Page 12",Negative
"You've already seen things calm down quite a bit, particularly in deposit flows.",quarter,Jamie Dimon,CEO,12,Q and A,Q1_2023,2023-04-14,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q1, 2023 Earnings Call Transcript, Page 12",Negative
"Betsy, did we just lose you? I feel like you just dropped.",quarter,Jeremy Barnum,CFO,13,Q and A,Q1_2023,2023-04-14,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2023 Earnings Call Transcript, Page 13",Negative
"You also obviously know that our current EaR actually shows a slight negative number, so a tiny bit liability sensitive, and I won't get into all the nuances about why that may or may not be a great predictor in the short-term.",quarter,Jeremy Barnum,CFO,13,Q and A,Q1_2023,2023-04-14,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2023 Earnings Call Transcript, Page 13",Negative
"And you're absolutely correct. You could have an environment of higher for longer that might be better than that, but remember, higher for longer comes with a lot of other things attached to it – like maybe a recession, stagflation, lower volumes.",quarter,Jamie Dimon,CEO,14,Q and A,Q1_2023,2023-04-14,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q1, 2023 Earnings Call Transcript, Page 14",Negative
So I wouldn't look at that as higher for longer is a positive. It might be a slight positive on that line. It would probably would be a negative on other lines.,quarter,Jamie Dimon,CEO,14,Q and A,Q1_2023,2023-04-14,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q1, 2023 Earnings Call Transcript, Page 14",Negative
"And we're also peering ahead, looking at those little bit of storm clouds so we're going to be kind of cautious.",quarter,Jamie Dimon,CEO,14,Q and A,Q1_2023,2023-04-14,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q1, 2023 Earnings Call Transcript, Page 14",Negative
"I mean, I think clearly if you go back like a year, we were maybe a little bit more optimistic that it might be across all the different levers and all the different pieces of it, closer to capital neutral.",quarter,Jeremy Barnum,CFO,14,Q and A,Q1_2023,2023-04-14,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2023 Earnings Call Transcript, Page 14",Negative
"I think now it feels like it’s likely to be worse than that. Hopefully, it’s not too much worse than that.",quarter,Jeremy Barnum,CFO,14,Q and A,Q1_2023,2023-04-14,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2023 Earnings Call Transcript, Page 14",Negative
"And there were supposed – I just remembered, there were supposed to be pauses in there about how they looked at banks relative to the global economy, which are getting smaller.",quarter,Jamie Dimon,CEO,14,Q and A,Q1_2023,2023-04-14,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q1, 2023 Earnings Call Transcript, Page 14",Negative
"But I think they have already – as the Fed has raised rates, you've already seen – that's the reason we expected outflows both from consumers and corporate customers.",quarter,Jamie Dimon,CEO,15,Q and A,Q1_2023,2023-04-14,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q1, 2023 Earnings Call Transcript, Page 15",Negative
"And I was just wondering if you could flush out what changed there on the outlook today versus three months ago. And I guess, is it a good or bad thing that those balances will be higher than you thought?",quarter,Matt O'Connor,Analyst,16,Q and A,Q1_2023,2023-04-14,JPMorgan,transcript,"Matt O'Connor (Analyst)
JPMorgan, Q1, 2023 Earnings Call Transcript, Page 16",Negative
"So we had revolving balances obviously drop a lot during the pandemic period and then we talked about having them recover in absolute dollar terms to the same level as we'd had pre-pandemic, which I think happened last quarter.",quarter,Jeremy Barnum,CFO,16,Q and A,Q1_2023,2023-04-14,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2023 Earnings Call Transcript, Page 16",Negative
"So, and on your question of whether it's good or bad, obviously there's a point at which the consumers have too much leverage. We don't see that yet, so.",quarter,Jeremy Barnum,CFO,16,Q and A,Q1_2023,2023-04-14,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2023 Earnings Call Transcript, Page 16",Negative
"Okay. And then just separately to squeeze in – you guys took some securities losses again this quarter. And in the past you've talked about really just going security-by-security looking for, kind of, pricing opportunities. Is that kind of what drove it again this quarter, or is there some kind of broader, overarching…",quarter,Matt O'Connor,Analyst,17,Q and A,Q1_2023,2023-04-14,JPMorgan,transcript,"Matt O'Connor (Analyst)
JPMorgan, Q1, 2023 Earnings Call Transcript, Page 17",Negative
And Markets revenue was down $400 million or 5% year-on-year.,quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2024,2024-04-12,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2024 Earnings Call Transcript, Page 2",Negative
"In Banking & Wealth Management, revenue was down 4% year-on-year, reflecting lower NII on lower deposits with average balances down 7%, as our CD mix increased.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2024,2024-04-12,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2024 Earnings Call Transcript, Page 2",Negative
"Payments revenue was $2.4 billion, down 1% year-on-year, as deposit margin normalization and deposit-related client credits were largely offset by higher fee-based revenue and deposit balances.",quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q1_2024,2024-04-12,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2024 Earnings Call Transcript, Page 3",Negative
"Moving to Markets, total revenue was $8 billion, down 5% year-on-year. Fixed income was down 7%, driven by lower activity in Rates and Commodities compared to a strong prior-year quarter, partially offset by strong results in Securitized Products.",quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q1_2024,2024-04-12,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2024 Earnings Call Transcript, Page 3",Negative
"Expenses of $7.2 billion were down 4% year-on-year, predominantly driven by lower legal expense.",quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q1_2024,2024-04-12,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2024 Earnings Call Transcript, Page 3",Negative
"Payments revenue of $1.9 billion was down 2% year-on-year, driven by lower deposit margins and balances, largely offset by fee growth net of higher deposit-related client credits.",quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q1_2024,2024-04-12,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2024 Earnings Call Transcript, Page 3",Negative
"Average deposits were down 3% year-on-year, primarily driven by lower non-operating deposits and down 1% quarter-on-quarter, reflecting seasonally lower balances.",quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q1_2024,2024-04-12,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2024 Earnings Call Transcript, Page 3",Negative
"Loans were flat quarter-on-quarter. C&I loans were down 1%, reflecting muted demand for new loans as clients remain cautious. And CRE loans were flat as higher rates continued to have an impact on originations and payoff activity.",quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q1_2024,2024-04-12,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2024 Earnings Call Transcript, Page 3",Negative
"And finally, loans were down 1% quarter-on-quarter and deposits were flat.",quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q1_2024,2024-04-12,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2024 Earnings Call Transcript, Page 3",Negative
NIR was a net loss of $188 million. The current quarter included net investment securities losses of $366 million compared with net securities losses of $868 million in the prior year quarter.,quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q1_2024,2024-04-12,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2024 Earnings Call Transcript, Page 3",Negative
"Our total NII guidance remains approximately $90 billion, which implies a decrease in our Markets NII guidance from around $2 billion to around $1 billion. The primary driver of that reduction is balance sheet growth and mix shift in the Markets business, and as a reminder, changes in Markets NII are generally revenue neutral.",quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q1_2024,2024-04-12,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2024 Earnings Call Transcript, Page 3",Negative
"And on credit, we continue to expect the 2024 Card net charge-off rate to be below 3.5%.",quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q1_2024,2024-04-12,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2024 Earnings Call Transcript, Page 3",Negative
I'm aware that there's a little bit of a narrative out there about are we seeing the end of what people sometimes refer to as cash sorting. We've looked at that data. We see some evidence that maybe it's slowing a little bit. We're quite cautious on that. We really sort of don't think it makes sense to assume that in a world where checking and savings is paying effectively zero and the policy rate is above 5% that you're not going to see ongoing migration.,quarter,Jeremy Barnum,CFO,6,Q and A,Q1_2024,2024-04-12,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2024 Earnings Call Transcript, Page 6",Negative
"We expect deposit balances to be sort of flat to modestly down, so that's a little bit of a headwind at the margin. And then, there's obviously the wild card of potential product level reprice, which we always say we're going to make those decisions situationally as a function of competitive conditions in the marketplace, and you know this obviously, but in a world where we've got something like $900 billion of deposits paying effectively zero, relatively small changes in the product level reprice can change the NII run rate by a lot. So, the error bands here are pretty wide, and we're always going to stick with our mantra, which has been not losing primary bank relationships and thinking about the long-term health of the franchise when we think about deposit pricing.",quarter,Jeremy Barnum,CFO,6,Q and A,Q1_2024,2024-04-12,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2024 Earnings Call Transcript, Page 6",Negative
"But if you think of real estate, there's two pieces. If rates go up, think of the yield curve. The whole yield curve, not Fed funds, but the 10-year bond rate, it goes up 2%, all assets, all assets, every asset on the planet, including real estate, is worth 20% less. Well, obviously, that creates a little bit of stress and strain, and people have to roll those over and finance it more. That's not just true for real estate, it's true for everybody. And that happens, leveraged loans, real estate will have some effect.",quarter,Jamie Dimon,CEO,8,Q and A,Q1_2024,2024-04-12,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q1, 2024 Earnings Call Transcript, Page 8",Negative
"The second thing is the, why does that happen? If that happens because we have a strong economy, well, that's not so bad for real estate because people will be hiring and throwing things out and other financial assets. If that happens because we have stagflation, well that’s the worst case.",quarter,Jamie Dimon,CEO,8,Q and A,Q1_2024,2024-04-12,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q1, 2024 Earnings Call Transcript, Page 8",Negative
"All of a sudden, you are going to have more vacancies, you are going to have more companies cutting back, you are going to have less leases. It will affect – including multifamily, that will filter through the whole economy in a way that we – people haven't really experienced since 2010.",quarter,Jamie Dimon,CEO,9,Q and A,Q1_2024,2024-04-12,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q1, 2024 Earnings Call Transcript, Page 9",Negative
"So, I just put in the back of your mind the why is important, the interest rates are important, the recession is important. If things stay where they are today, we have kind of the soft landing that seems to be embedded in the marketplace, everyone will – the real estate will muddle through. Obviously, it will be idiosyncratic if you're in different cities and different types and B versus A buildings and all of that, but people muddle through. They won't muddle through under higher rates with the recession. That would be tough for a lot of folks and not just real estate if, in fact, that happens.",quarter,Jamie Dimon,CEO,9,Q and A,Q1_2024,2024-04-12,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q1, 2024 Earnings Call Transcript, Page 9",Negative
"Right. So, interesting framing of the question, Erika. So, I think we've been pretty consistent about where we're over-earning, right? So, obviously, one major area is that we're over-earning in deposit margin, especially in consumer and that's sort of why we're expecting sequential declines in NII, why we've talked about compressing deposit margins and increases in weighted average rate paid. So, I think that's probably the single biggest source of, let's call it, excess earnings currently.",quarter,Jeremy Barnum,CFO,9,Q and A,Q1_2024,2024-04-12,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2024 Earnings Call Transcript, Page 9",Negative
"You also have heard Jamie say that we're over-earning in credit. I mean, Wholesale charge-offs have been particularly low, but we have builds for that. So, in the current run rate, a bit less clear the extent of what we're earning. And in Card, of course, while charge-offs are now close to normalized essentially, we did go through an extended period of charge-offs being very low by historical standards, although that was coupled with NII also being low by historical standards. So, from a bottom line perspective, it's not entirely clear what the net of that was. But broadly, it's really deposit margin that's the biggest single factor in the over-earning narrative.",quarter,Jeremy Barnum,CFO,9,Q and A,Q1_2024,2024-04-12,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2024 Earnings Call Transcript, Page 9",Negative
Which we know are going to be wrong.,quarter,Jamie Dimon,CEO,10,Q and A,Q1_2024,2024-04-12,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q1, 2024 Earnings Call Transcript, Page 10",Negative
"Sure. Yeah. Let me take the IPO first. So, we have been a little bit cautious there. Some cohorts and vintages of IPOs had performed somewhat disappointingly. I think that narrative has changed to a meaningful degree this quarter. So I think we're seeing better IPO performance. Obviously, Equity Markets have been under a little bit of pressure last few days. But in general, we have a lot of support there and that always helps.",quarter,Jeremy Barnum,CFO,10,Q and A,Q1_2024,2024-04-12,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2024 Earnings Call Transcript, Page 10",Negative
"And then, the question of M&A I think is probably the single most important question, not only because of its impact on M&A, but also because of it's knock-on impact on DCM through acquisition, financing and so on. And there is the well-known kind of regulatory headwinds there and that's definitely having a bit of a chilling effect. I don't know, I've heard some narratives that maybe there is like some pent-up deal demand. Who knows how important politics are in all this? So, I don't know.",quarter,Jeremy Barnum,CFO,11,Q and A,Q1_2024,2024-04-12,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2024 Earnings Call Transcript, Page 11",Negative
"I think that when we talk about the impact of the geopolitical uncertainty on the outlook, part of the point there is to note that the U.S. is not isolated from that. If we have global macroeconomic problems as a result of geopolitical situations, that’s not only a problem outside of the U.S.; that affects the global economy and therefore the US and therefore our corporate customers, et cetera, et cetera.",quarter,Jeremy Barnum,CFO,12,Q and A,Q1_2024,2024-04-12,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2024 Earnings Call Transcript, Page 12",Negative
"And in that context, keeping in mind what we always say that we invest through-the-cycle, that we sort of, we don’t go into countries and then leave countries, et cetera. Obviously, we adjust around the edges, we manage risks, we do make choices as a function of the overall geopolitical environment. But broadly, the notion that we would pull back meaningfully from one of the key competitive strengths that this company has always had which is, its sort of global character because of a particular moment geopolitically, would just be inconsistent with how we've always operated.",quarter,Jeremy Barnum,CFO,12,Q and A,Q1_2024,2024-04-12,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2024 Earnings Call Transcript, Page 12",Negative
"And I think the single most notable thing is just this effect, where in the – while it is true that real incomes have gone up in the lowest income cohorts, within that there's obviously a probability distribution. And there's some – or rather just a distribution of outcomes. And there are some set of people whose real incomes are not up, they're down, and who are therefore struggling a little bit unfortunately. And what you observe in the spending patterns of those people is, some meaningful slowing rather than what you might have feared which is sort of aggressive levering up.",quarter,Jeremy Barnum,CFO,14,Q and A,Q1_2024,2024-04-12,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2024 Earnings Call Transcript, Page 14",Negative
"I think that, away from the leverage lending space in the broader C&I space, there was a moment a few months ago where I think, in no small part, as a result of banks generally anticipating this more challenging capital environment and sort of disciplining a little bit their lending, you're seeing a little bit of widening actually in those corporate lending spreads. I don't know if that trend has like survived over the last few weeks, and it was little bit hard to observe in any case.",quarter,Jeremy Barnum,CFO,15,Q and A,Q1_2024,2024-04-12,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2024 Earnings Call Transcript, Page 15",Negative
"And so, in a funny way, the private credit space becomes a little bit more like the syndicated lending space. And at the same time, the syndicated lending space being influenced a little bit by these private credit unitranche structures, gets pushed a little bit in the private credit direction in terms of like speed of execution and other aspects of how that business works. So, we're watching it. The competitive dynamics are interesting. Certainly, there's some pressure in some areas. But we really do think that our overall value proposition and competitive position here is second to none, and so we're looking forward to the future here.",quarter,Jeremy Barnum,CFO,16,Q and A,Q1_2024,2024-04-12,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2024 Earnings Call Transcript, Page 16",Negative
"NII ex. Markets was down $430 million, or 2%, driven by the impact of lower rates and deposit margin compression, as well as lower deposit balances in CCB. This was predominantly offset by higher Card revolving balances, the impact of securities activity, including from prior quarters, as well as higher wholesale deposits.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2025,2025-04-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2025 Earnings Call Transcript, Page 2",Negative
"In addition, it's important to note that the increase in the allowance is not, to any meaningful degree, driven by deterioration in the actual credit performance in the portfolio, which remains largely in line with expectations.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2025,2025-04-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2025 Earnings Call Transcript, Page 2",Negative
"With that, let's go to the balance sheet and capital on page 4. We ended the quarter with a CET1 ratio of 15.4%, down 30 basis points versus the prior quarter as net income and OCI gains were more than offset by capital distributions and higher RWA.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2025,2025-04-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2025 Earnings Call Transcript, Page 2",Negative
"In Banking & Wealth Management, revenue was down 1% year-on-year, driven by lower deposit NII, predominantly offset by growth in Wealth Management revenue.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2025,2025-04-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2025 Earnings Call Transcript, Page 2",Negative
"In Equity underwriting, fees were down 9% year-on-year, reflecting challenging market conditions.",quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q1_2025,2025-04-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2025 Earnings Call Transcript, Page 3",Negative
"In light of market conditions, we are adopting a cautious stance on the Investment Banking outlook. While client engagement and dialog is quite elevated, both the conversion of the existing pipeline and origination of new activity will require a reduction in the current levels of uncertainty.",quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q1_2025,2025-04-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2025 Earnings Call Transcript, Page 3",Negative
Average Banking & Payments loans were down 3% year-on-year and down 1% sequentially as we continued to observe payoff activity and limited demand for new loans across client segments.,quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q1_2025,2025-04-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2025 Earnings Call Transcript, Page 3",Negative
NII of $1.7 billion was down $826 million year-on-year. NIR was a net gain of $653 million compared with a net loss of $275 million in the prior year.,quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q1_2025,2025-04-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2025 Earnings Call Transcript, Page 3",Negative
"The current quarter included the significant item I mentioned upfront, while the prior-year quarter included net securities losses of $336 (sic) [$366] million.",quarter,Jeremy Barnum,CFO,3,Prepared remarks,Q1_2025,2025-04-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2025 Earnings Call Transcript, Page 3",Negative
"Expenses of $185 million were down $1.1 billion year-on-year, driven by the changes to the FDIC special assessment accruals I mentioned upfront.",quarter,Jeremy Barnum,CFO,4,Prepared remarks,Q1_2025,2025-04-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2025 Earnings Call Transcript, Page 4",Negative
"I do think you see obvious differences across sectors. Some sectors are going to be much more exposed than others and have more complicated problems to solve. And also across the size of the clients, I think smaller clients, small business and smaller corporates are probably a little bit more challenged. I think the larger corporates have a bit more experience dealing with these things and more resources to manage. So that's a little bit our read of the situation right now. But certainly, a bit of a wait-and-see attitude. It's hard to make long-term decisions right now, and so we'll see how that plays out.",quarter,Jeremy Barnum,CFO,4,Q and A,Q1_2025,2025-04-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2025 Earnings Call Transcript, Page 4",Negative
"Yeah, that's a good question, Ken. You're right. So if you remember, last quarter we said that we had one cut in the curve. I think latest curve has something like three cuts. And so, we've talked a lot, obviously, about how we are asset sensitive. You now see our EaR disclosed in the supplement, and probably our empirical EaR is a little bit higher than our modeled EaR as a result of the relatively low – lower than modeled rates paid in Consumer. So when you put that together, all else equal, the drop in the weighted-average IORB, which is about 22 basis points, should produce a notable headwind in our NII ex. Markets.",quarter,Jeremy Barnum,CFO,5,Q and A,Q1_2025,2025-04-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2025 Earnings Call Transcript, Page 5",Negative
"So that's mechanically just flowing through the curve. So yeah, your question is that given that, why are you not revising down? And the answer to that is that across all the puts and takes actually, our number is a tiny bit lower. It's just not enough to warrant a change in the outlook.",quarter,Jeremy Barnum,CFO,5,Q and A,Q1_2025,2025-04-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2025 Earnings Call Transcript, Page 5",Negative
"The other thing is that you'll recall, we talked before about having a placeholder in our NII outlook for the potential impact of the Card late fee rule. We've now removed that. So that's a little bit of an offset as well. So that's kind of how you get to unchanged, even though clearly, all else equal, the lower expected front-end rates are a headwind.",quarter,Jeremy Barnum,CFO,5,Q and A,Q1_2025,2025-04-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2025 Earnings Call Transcript, Page 5",Negative
"Yes. Good morning. This question is for Jamie. Jamie, you were on the media today talking about potential economic turbulence. But Jeremy also mentioned that banking should be – the banking system should be a source of strength in this turbulence. The equity market always seems to think about the banks as weaker players given how they trade the stocks more on sentiment and fear rather than the math of – the ability of banks to absorb provisions going forward, if we do fall into a slower economic downturn.",quarter,Erika Najarian,Analyst,5,Q and A,Q1_2025,2025-04-11,JPMorgan,transcript,"Erika Najarian (Analyst)
JPMorgan, Q1, 2025 Earnings Call Transcript, Page 5",Negative
"I just – before Jamie answers that, Erika, I just want to make one brief comment, which is the banking system being a source of strength means what it says. In other words, banks doing their job to support the economy. That's not a statement about bank equity performance and the extent to which banks are cyclical or not. Like obviously, a recessionary environment, as I've frequently said, all else equal, is bad for banks  from an equity performance perspective. We're talking about the financial strength of banks' balance sheets and our ability to support our clients in a difficult moment.",quarter,Jeremy Barnum,CFO,6,Q and A,Q1_2025,2025-04-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2025 Earnings Call Transcript, Page 6",Negative
"And I think the one thing I'll add to what Jeremy said is – and I don't usually pay that much attention to anecdotes, but this time I am. And I think you're going to see a lot of companies – you guys – not you, but the analyst community has already reduced its earnings estimates for the S&P by 5%. So it's – now it's up 5% as opposed to up 10%. My guess is that will be zero and negative 5%, probably in the next month.",quarter,Jamie Dimon,CEO,6,Q and A,Q1_2025,2025-04-11,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q1, 2025 Earnings Call Transcript, Page 6",Negative
"I just also want to point out, just to – so you can round it up. This is to make you feel comfortable, not uncomfortable. When COVID hit, unemployment went from like 4% to 15% in a couple of months, and we had to add to reserves in a two-month period of $15 billion. And then to show you how stupid CECL is, in the three month – three quarter period, we took down the $15 billion. So, just – that just sizes up a bad recession. If it's a mild recession, it will be less than that. If it's a really bad recession, it will be more than that. Either way, we can handle it and serve our clients. Earnings won't be great and the stocks will go down, which I look at as an opportunity to buy back more stock.",quarter,Jamie Dimon,CEO,6,Q and A,Q1_2025,2025-04-11,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q1, 2025 Earnings Call Transcript, Page 6",Negative
"As I mentioned in my prepared remarks, the [indiscernible] forecast at the end of the quarter was the sort of bog standard, no landing, barely any increase in unemployment. Given that we knew at the time that there was – there were some big pending announcements, and there was quite a bit of elevated uncertainty around that, it felt like the forecasts were kind of lagging because people were just waiting to actually get the information and so it felt appropriate to add a little bit of downside skew to our probability assessment, which is what led to the increase and what led to the build.",quarter,Jeremy Barnum,CFO,6,Q and A,Q1_2025,2025-04-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2025 Earnings Call Transcript, Page 6",Negative
Good morning. Just wanted to drill down on the credit card spend. Any comments in terms of changing patterns on the consumer card spend? There's been headlines in travel kind of going down. Just talk about some of the puts and takes in that up 7% year-over-year.,quarter,Matt O’Connor,Analyst,8,Q and A,Q1_2025,2025-04-11,JPMorgan,transcript,"Matt O’Connor (Analyst)
JPMorgan, Q1, 2025 Earnings Call Transcript, Page 8",Negative
"Yeah, it's a good question and we're seeing that too. So let me talk about travel. I mean we obviously saw the airlines discuss what they are seeing as headwinds for them, specifically in airline travel, and we're seeing that too through the card spend. It's not obvious to us that that's necessarily an indicator for broader patterns. There are a variety of potential explanations for the narrow drop in airline spend.",quarter,Jeremy Barnum,CFO,9,Q and A,Q1_2025,2025-04-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2025 Earnings Call Transcript, Page 9",Negative
"The other thing that people are kind of interested in this space is like what's happening by income band, because we have seen some of the retailers and other folks talking about weaknesses in the lower income segment. And I think when we look at our Card data and also our cash buffers and peoples' checking accounts, of course, it is true that it is relatively weaker in the lower income segment. But when you take a step back and you ask, are we seeing signs of distress in the lower income segment? The answer is no. So, sure, the margin and cash buffers are lower, and you see some rotation of spend and spending is a little bit weaker than it was in the peak spending moments. But actually, some of the increases in spending that we're seeing in April are actually coming from the lower income segment. So no evidence of distress, I would say.",quarter,Jeremy Barnum,CFO,9,Q and A,Q1_2025,2025-04-11,JPMorgan,transcript,"Jeremy Barnum (CFO)
JPMorgan, Q1, 2025 Earnings Call Transcript, Page 9",Negative
Delinquencies in Home Lending.,quarter,Jamie Dimon,CEO,9,Q and A,Q1_2025,2025-04-11,JPMorgan,transcript,"Jamie Dimon (CEO)
JPMorgan, Q1, 2025 Earnings Call Transcript, Page 9",Negative
"Hi. Good morning and thanks for taking my questions. Wanted to start off with one on the proposed SLR changes and just the impact of rate volatility. The Treasury is committed to providing relief to the banks under the SLR just to help mitigate some of the volatility in the 10-year. But given the geopolitical concerns, weakening global demand for treasuries, how does it inform your appetite just for purchasing U.S. Treasuries if those reforms are implemented and just how you're managing rate risk maybe more holistically across the Firm, just in light of some the recent volatility?",quarter,Steven Chubak,Analyst,10,Q and A,Q1_2025,2025-04-11,JPMorgan,transcript,"Steven Chubak (Analyst)
JPMorgan, Q1, 2025 Earnings Call Transcript, Page 10",Negative
"Thank you both for that perspective. And just for my follow-up, did want to ask on the Markets outlook. So, admittedly, less surprising to hear some of the cautious IB commentary in light of the uncertainty. But was hoping you could just speak to the Markets businesses which have been performing extraordinarily well of late and just given the combination of elevated volatility, but also some indications that clients are taking down risk, how you expect that business to perform over the coming quarters.",quarter,Steven Chubak,Analyst,11,Q and A,Q1_2025,2025-04-11,JPMorgan,transcript,"Steven Chubak (Analyst)
JPMorgan, Q1, 2025 Earnings Call Transcript, Page 11",Negative
